transaction_id,customer_id,transaction_date,amount,transaction_type,merchant_name,merchant_category,location,ip_address,fraud_flag
TXN_special_105,CUST_special_105,2025-03-11,1347,Refund,Black-Graham,Online Services,"North Crystal, Ethiopia",10.200.11.75691,true
TXN_special_389,CUST_special_389,2024-06-17,1755,Refund,Cobb LLC,Online Services,"West Louiston, Kyrgyz Republic",10.200.11.39036,true
TXN_special_463,CUST_special_463,2024-07-25,6406,Refund,Caldwell-Perez,Online Services,"Kristinamouth, Micronesia",10.200.11.19734,true
TXN_special_459,CUST_special_459,2025-05-13,4135,Refund,"Garrison, Rogers and Adams",Online Services,"West Dawnfort, Mongolia",10.200.11.86787,true
TXN_special_376,CUST_special_376,2025-04-30,7629,Refund,"Miller, Montgomery and Gross",Online Services,"West Samuel, Qatar",10.200.11.20444,true
TXN_special_421,CUST_special_421,2025-03-24,5930,Refund,Shelton-Berry,Online Services,"Stephentown, Bahamas",10.200.11.36460,true
TXN_special_309,CUST_special_309,2024-12-03,1570,Refund,"Brock, Reynolds and Fernandez",Online Services,"Rodriguezberg, Turkmenistan",10.200.11.71158,true
TXN_special_375,CUST_special_375,2025-01-24,4420,Refund,Garcia-James,Online Services,"East Antonio, Serbia",10.200.11.70765,true
TXN_special_337,CUST_special_337,2024-10-18,9562,Refund,"Gentry, Brady and Tate",Online Services,"Jackside, Russian Federation",10.200.11.21073,true
TXN_special_633,CUST_special_633,2024-06-09,9226,Refund,Johnson-Howard,Online Services,"Martinezport, Anguilla",10.200.11.95027,true
TXN_special_330,CUST_special_330,2024-10-25,4015,Refund,Martin-Ross,Online Services,"South Robertfurt, Jersey",10.200.11.78178,true
TXN_special_454,CUST_special_454,2024-12-21,1916,Refund,Knight LLC,Online Services,"New Sharonmouth, Botswana",10.200.11.97829,true
TXN_special_163,CUST_special_163,2024-10-30,5212,Refund,"Steele, Arnold and Dean",Online Services,"West Carriefurt, Jersey",10.200.11.47442,true
TXN_special_192,CUST_special_192,2025-03-04,8882,Refund,"Fisher, Mills and Sosa",Online Services,"Ericport, Russian Federation",10.200.11.25293,true
TXN_special_199,CUST_special_199,2024-08-23,3044,Refund,Vargas-Greer,Online Services,"Melanieport, Mexico",10.200.11.85957,true
TXN_special_501,CUST_special_501,2025-05-11,778,Refund,Johnson-Howard,Online Services,"West Johnberg, Uganda",10.200.11.96175,true
TXN_special_138,CUST_special_138,2025-05-16,6244,Refund,"Fisher, Perez and Pham",Online Services,"Evansshire, Japan",10.200.11.64525,true
TXN_special_404,CUST_special_404,2024-11-05,3945,Refund,"Mccall, Hanson and Alvarado",Online Services,"North Annhaven, Tokelau",10.200.11.87668,true
TXN_special_468,CUST_special_468,2024-05-28,8629,Refund,Barry PLC,Online Services,"Andersonshire, Moldova",10.200.11.56838,true
TXN_special_128,CUST_special_128,2025-04-08,3283,Refund,"Brewer, Lewis and Barnes",Online Services,"Bellport, Benin",10.200.11.87252,true
TXN_special_612,CUST_special_612,2025-04-15,3665,Refund,Castro Inc,Online Services,"Andersonberg, Lebanon",10.200.11.83989,true
TXN_special_432,CUST_special_432,2024-08-28,1784,Refund,King Inc,Online Services,"South Franciscobury, Ghana",10.200.11.78679,true
TXN_special_511,CUST_special_511,2025-01-07,6928,Refund,Lopez LLC,Online Services,"Stokesberg, French Guiana",10.200.11.27693,true
TXN_special_243,CUST_special_243,2024-10-28,4071,Refund,Rivera Inc,Online Services,"New Denise, Djibouti",10.200.11.30481,true
TXN_special_299,CUST_special_299,2024-11-08,5656,Refund,Fitzgerald-Dorsey,Online Services,"Jimenezview, Italy",10.200.11.81817,true
TXN_special_408,CUST_special_408,2025-05-07,9260,Refund,Wilson-Smith,Online Services,"Romanland, Rwanda",10.200.11.85531,true
TXN_special_246,CUST_special_246,2024-05-30,6264,Refund,Mullins-Carrillo,Online Services,"Mooremouth, Cape Verde",10.200.11.64622,true
TXN_special_158,CUST_special_158,2024-11-30,5534,Refund,"Wilson, Pena and Rich",Online Services,"Davidville, Turkey",10.200.11.55594,true
TXN_special_500,CUST_special_500,2024-09-06,9373,Refund,Bell PLC,Online Services,"Haynesstad, Kuwait",10.200.11.11973,true
TXN_special_329,CUST_special_329,2024-05-26,2418,Refund,Jackson-Mendoza,Online Services,"New Cody, Austria",10.200.11.80754,true
TXN_special_140,CUST_special_140,2024-10-24,648,Refund,Campbell LLC,Online Services,"New Sean, Uzbekistan",10.200.11.20727,true
TXN_special_598,CUST_special_598,2024-09-26,5706,Refund,"Lamb, Chapman and Brown",Online Services,"North Anthony, Slovakia (Slovak Republic)",10.200.11.12984,true
TXN_special_104,CUST_special_104,2024-08-01,2751,Refund,Smith-Armstrong,Online Services,"South Tyler, Monaco",10.200.11.56174,true
TXN_special_114,CUST_special_114,2025-01-18,5197,Refund,"Mays, Torres and Thompson",Online Services,"Melvinshire, Montenegro",10.200.11.71011,true
TXN_special_446,CUST_special_446,2025-01-08,9814,Refund,"Bridges, Harrison and Johnson",Online Services,"Lake Kevin, Antarctica (the territory South of 60 deg S)",10.200.11.60826,true
TXN_special_146,CUST_special_146,2024-10-04,9012,Refund,Pierce-Curtis,Online Services,"New Blake, Jordan",10.200.11.58086,true
TXN_special_597,CUST_special_597,2025-05-09,3775,Refund,Ford-Brown,Online Services,"Port Brianaville, China",10.200.11.52131,true
TXN_special_520,CUST_special_520,2025-02-06,9310,Refund,Tate Ltd,Online Services,"North Mary, Paraguay",10.200.11.87088,true
TXN_special_467,CUST_special_467,2024-11-22,649,Refund,"Long, Watkins and Gonzalez",Online Services,"Castanedachester, Mauritania",10.200.11.13455,true
TXN_special_365,CUST_special_365,2024-12-01,2053,Refund,Ritter Group,Online Services,"Diaztown, Kazakhstan",10.200.11.99042,true
TXN_special_180,CUST_special_180,2025-01-28,7557,Refund,Perez Group,Online Services,"Lake Erinton, Malta",10.200.11.97055,true
TXN_special_300,CUST_special_300,2024-10-30,1606,Refund,Dennis Inc,Online Services,"Rosechester, Tuvalu",10.200.11.69229,true
TXN_special_508,CUST_special_508,2024-12-07,3071,Refund,Adams PLC,Online Services,"East Jessica, Italy",10.200.11.31275,true
TXN_special_574,CUST_special_574,2024-12-14,6020,Refund,"Miranda, Rivera and Ingram",Online Services,"Tracystad, Argentina",10.200.11.68710,true
TXN_special_297,CUST_special_297,2024-05-25,7021,Refund,"Sanders, Taylor and Shields",Online Services,"Mcdonaldberg, Saint Helena",10.200.11.93674,true
TXN_special_134,CUST_special_134,2024-05-26,7606,Refund,Stephens Inc,Online Services,"West Tonyashire, Suriname",10.200.11.76414,true
TXN_special_54,CUST_special_54,2025-05-07,2375,Refund,Jones-Flores,Online Services,"West Aaronbury, Malawi",10.200.11.15517,true
TXN_special_144,CUST_special_144,2024-12-17,3872,Refund,Baker-Curry,Online Services,"Richardfurt, San Marino",10.200.11.62973,true
TXN_special_272,CUST_special_272,2024-08-20,1584,Refund,Solis and Sons,Online Services,"New Ricardo, Sierra Leone",10.200.11.79331,true
TXN_special_312,CUST_special_312,2024-12-13,8778,Refund,"Warren, Ross and Johns",Online Services,"Gabrielborough, Zimbabwe",10.200.11.59515,true
TXN_special_263,CUST_special_263,2024-08-15,305,Refund,Bailey Inc,Online Services,"East Grace, Vanuatu",10.200.11.85304,true
TXN_special_610,CUST_special_610,2024-08-11,873,Refund,Boyd and Sons,Online Services,"Port Brooke, Isle of Man",10.200.11.94674,true
TXN_special_353,CUST_special_353,2024-09-28,2523,Refund,"Adams, Hodge and Duke",Online Services,"New Laurenfort, Wallis and Futuna",10.200.11.39749,true
TXN_special_594,CUST_special_594,2024-11-22,166,Refund,Saunders-Lee,Online Services,"Johnsonburgh, Sudan",10.200.11.41606,true
TXN_special_249,CUST_special_249,2024-06-15,9534,Refund,Lin LLC,Online Services,"North Hannah, Norway",10.200.11.15174,true
TXN_special_30,CUST_special_30,2025-03-08,7747,Refund,Long-Hoffman,Online Services,"Serranoshire, Isle of Man",10.200.11.15559,true
TXN_special_445,CUST_special_445,2024-09-14,1596,Refund,"Rosales, Molina and Richards",Online Services,"West Theodore, Libyan Arab Jamahiriya",10.200.11.56716,true
TXN_special_223,CUST_special_223,2025-05-18,5847,Refund,Mccullough-Miller,Online Services,"Cherylmouth, Jordan",10.200.11.12574,true
TXN_special_418,CUST_special_418,2025-04-21,6549,Refund,Moore-Osborn,Online Services,"Lake Ariana, Vietnam",10.200.11.85286,true
TXN_special_224,CUST_special_224,2024-11-24,6599,Refund,Munoz and Sons,Online Services,"New Timothyshire, Rwanda",10.200.11.62452,true
TXN_special_429,CUST_special_429,2024-10-29,1704,Refund,"Mcbride, Huffman and Parker",Online Services,"Welchborough, Lithuania",10.200.11.88738,true
TXN_special_498,CUST_special_498,2024-11-13,839,Refund,Kaiser Ltd,Online Services,"Marieland, Svalbard & Jan Mayen Islands",10.200.11.60250,true
TXN_special_12,CUST_special_12,2024-06-27,4139,Refund,"Martin, Payne and Stewart",Online Services,"Judyfort, Heard Island and McDonald Islands",10.200.11.58090,true
TXN_special_319,CUST_special_319,2025-03-31,3558,Refund,"Bond, Hayes and Gomez",Online Services,"Harringtonside, Libyan Arab Jamahiriya",10.200.11.11257,true
TXN_special_614,CUST_special_614,2024-10-24,9084,Refund,Bell-Wilson,Online Services,"West Amber, Belarus",10.200.11.41746,true
TXN_special_354,CUST_special_354,2024-08-21,8585,Refund,Perez Inc,Online Services,"Gravesfurt, Tokelau",10.200.11.99890,true
TXN_special_56,CUST_special_56,2025-03-16,4686,Refund,"Taylor, White and Patterson",Online Services,"Craigmouth, Northern Mariana Islands",10.200.11.63577,true
TXN_special_250,CUST_special_250,2024-06-29,768,Refund,White LLC,Online Services,"Elizabethfurt, Canada",10.200.11.57235,true
TXN_special_256,CUST_special_256,2025-02-15,3193,Refund,Williams-Moses,Online Services,"New Christopher, Bermuda",10.200.11.72723,true
TXN_special_87,CUST_special_87,2025-01-06,8210,Refund,"Cabrera, Compton and Robertson",Online Services,"Port Melinda, Brunei Darussalam",10.200.11.31016,true
TXN_special_157,CUST_special_157,2024-11-10,3917,Refund,"Holland, Foley and Neal",Online Services,"Port Davidmouth, Namibia",10.200.11.55330,true
TXN_special_436,CUST_special_436,2025-05-20,4016,Refund,Small-Williams,Online Services,"Josephberg, Bolivia",10.200.11.51732,true
TXN_special_381,CUST_special_381,2024-06-03,5995,Refund,"Williams, Gallagher and Day",Online Services,"West Alecmouth, Uruguay",10.200.11.64963,true
TXN_special_414,CUST_special_414,2024-10-03,2105,Refund,Lynch Ltd,Online Services,"Lopezberg, South Georgia and the South Sandwich Islands",10.200.11.70581,true
TXN_special_301,CUST_special_301,2024-10-27,3709,Refund,White-Green,Online Services,"Port Robert, Norfolk Island",10.200.11.14028,true
TXN_special_228,CUST_special_228,2024-06-01,723,Refund,Mooney and Sons,Online Services,"New Sophiamouth, Faroe Islands",10.200.11.32820,true
TXN_special_577,CUST_special_577,2025-03-03,1326,Refund,Kramer-Coleman,Online Services,"Mooreberg, Burkina Faso",10.200.11.20560,true
TXN_special_427,CUST_special_427,2024-10-22,9619,Refund,Novak and Sons,Online Services,"Port Angelashire, Sri Lanka",10.200.11.90452,true
TXN_special_296,CUST_special_296,2024-11-08,713,Refund,"Winters, Newman and Brown",Online Services,"Jessicamouth, Bermuda",10.200.11.35599,true
TXN_special_120,CUST_special_120,2024-06-04,7322,Refund,Lucas-Campos,Online Services,"Alyssaborough, Zimbabwe",10.200.11.35289,true
TXN_special_127,CUST_special_127,2025-02-14,3178,Refund,Gilbert-Johnson,Online Services,"North Nicholasfurt, Timor-Leste",10.200.11.46347,true
TXN_special_277,CUST_special_277,2024-06-24,4453,Refund,Johnston-Hill,Online Services,"Heatherside, Guyana",10.200.11.32923,true
TXN_special_11,CUST_special_11,2024-05-24,9058,Refund,Johnson-Perez,Online Services,"East Deborahmouth, Svalbard & Jan Mayen Islands",10.200.11.12419,true
TXN_special_397,CUST_special_397,2025-02-24,3776,Refund,"Haley, Butler and Anderson",Online Services,"Lake Sally, Iran",10.200.11.23818,true
TXN_special_205,CUST_special_205,2024-10-14,4849,Refund,Evans-Miller,Online Services,"Johnsonview, Malta",10.200.11.82795,true
TXN_special_45,CUST_special_45,2025-01-26,529,Refund,Clark-Ortiz,Online Services,"New Jennifer, El Salvador",10.200.11.89535,true
TXN_special_462,CUST_special_462,2025-03-10,9215,Refund,Russell and Sons,Online Services,"Shawnstad, Papua New Guinea",10.200.11.74094,true
TXN_special_125,CUST_special_125,2024-09-15,7369,Refund,"Gordon, Andrews and Kelley",Online Services,"Cobbstad, Netherlands Antilles",10.200.11.17898,true
TXN_special_132,CUST_special_132,2025-02-21,4611,Refund,Reese-Shaw,Online Services,"South Franciscobury, Ghana",10.200.11.10040,true
TXN_special_321,CUST_special_321,2025-03-23,6265,Refund,Johnson-Juarez,Online Services,"Lake Sandra, Bangladesh",10.200.11.98594,true
TXN_special_505,CUST_special_505,2025-01-21,3326,Refund,Burke Group,Online Services,"Williamsmouth, Switzerland",10.200.11.74666,true
TXN_special_325,CUST_special_325,2024-12-01,5278,Refund,Moore-Bryant,Online Services,"West Karen, Honduras",10.200.11.48607,true
TXN_special_466,CUST_special_466,2025-01-14,7654,Refund,Benjamin LLC,Online Services,"Frybury, Niue",10.200.11.41035,true
TXN_special_572,CUST_special_572,2024-08-09,7879,Refund,"Matthews, Saunders and Anderson",Online Services,"Moranhaven, Benin",10.200.11.91546,true
TXN_special_423,CUST_special_423,2024-07-08,9090,Refund,Brooks-Hartman,Online Services,"East Javier, Liberia",10.200.11.25358,true
TXN_special_1,CUST_special_1,2024-06-23,4017,Refund,"Franklin, Perez and Brown",Online Services,"New Robin, Korea",10.200.11.34200,true
TXN_special_611,CUST_special_611,2025-03-11,96,Refund,Donovan Group,Online Services,"Lake Christopherstad, Korea",10.200.11.77586,true
TXN_special_484,CUST_special_484,2024-12-29,6463,Refund,Romero-Walker,Online Services,"Port Stevenchester, Grenada",10.200.11.36375,true
TXN_special_276,CUST_special_276,2024-10-25,4785,Refund,"Ali, Steele and Sanders",Online Services,"Hernandezfort, Cote d'Ivoire",10.200.11.66891,true
TXN_special_175,CUST_special_175,2024-12-04,1081,Refund,West Group,Online Services,"Lunabury, Senegal",10.200.11.68794,true
TXN_special_19,CUST_special_19,2024-07-09,2713,Refund,Alvarado-Mckee,Online Services,"Sarahside, San Marino",10.200.11.12314,true
TXN_special_581,CUST_special_581,2025-03-25,3604,Refund,Shaffer PLC,Online Services,"East Jessica, Guinea",10.200.11.91688,true
TXN_special_166,CUST_special_166,2025-03-24,967,Refund,"Burton, Gonzalez and Harrison",Online Services,"Obrienbury, San Marino",10.200.11.44920,true
TXN_special_149,CUST_special_149,2025-05-17,9148,Refund,"Thompson, Hardy and Walter",Online Services,"Gibsonview, Nepal",10.200.11.81752,true
TXN_special_548,CUST_special_548,2024-10-30,5315,Refund,"Singleton, Bradley and Singleton",Online Services,"Hudsonchester, South Georgia and the South Sandwich Islands",10.200.11.13110,true
TXN_special_22,CUST_special_22,2025-02-25,5558,Refund,Vincent-Meyer,Online Services,"Jenniferborough, Bulgaria",10.200.11.18014,true
TXN_special_52,CUST_special_52,2025-05-18,3340,Refund,Jackson-Mendoza,Online Services,"Matthewbury, Dominican Republic",10.200.11.95392,true
TXN_special_23,CUST_special_23,2024-06-10,6611,Refund,Dougherty-Smith,Online Services,"New Jessicaberg, Saudi Arabia",10.200.11.39196,true
TXN_special_536,CUST_special_536,2024-07-31,1931,Refund,Graham-Tate,Online Services,"Annstad, Saint Lucia",10.200.11.52362,true
TXN_special_352,CUST_special_352,2024-07-17,4360,Refund,Bush-Wilson,Online Services,"Grayhaven, Saint Kitts and Nevis",10.200.11.69136,true
TXN_special_279,CUST_special_279,2024-09-19,1998,Refund,Hancock-Santos,Online Services,"Rosalesbury, Germany",10.200.11.22674,true
TXN_special_262,CUST_special_262,2024-12-11,6957,Refund,Henderson-Diaz,Online Services,"South Alexandriamouth, Mali",10.200.11.66575,true
TXN_special_569,CUST_special_569,2024-12-09,5789,Refund,Crosby Ltd,Online Services,"Joseside, Azerbaijan",10.200.11.86624,true
TXN_special_119,CUST_special_119,2024-06-07,9864,Refund,"Wallace, Gonzalez and Tate",Online Services,"Johnchester, Austria",10.200.11.36676,true
TXN_special_504,CUST_special_504,2024-11-05,8992,Refund,Burton-Peck,Online Services,"North Randy, Djibouti",10.200.11.28914,true
TXN_special_342,CUST_special_342,2025-02-22,9685,Refund,Taylor-Wright,Online Services,"Mayberg, Australia",10.200.11.23457,true
TXN_special_351,CUST_special_351,2025-01-30,5131,Refund,"Bates, Atkinson and Stanley",Online Services,"Bryantshire, Norway",10.200.11.36057,true
TXN_special_549,CUST_special_549,2024-08-26,4323,Refund,"Crawford, Rodgers and Daniels",Online Services,"South Joyce, Luxembourg",10.200.11.15367,true
TXN_special_349,CUST_special_349,2025-04-25,7677,Refund,Bush-Reynolds,Online Services,"Port Kathleen, Ecuador",10.200.11.70255,true
TXN_special_236,CUST_special_236,2025-01-07,4989,Refund,"Miller, Lopez and Miller",Online Services,"South Stacyshire, Myanmar",10.200.11.67339,true
TXN_special_9,CUST_special_9,2024-10-07,3559,Refund,Sanchez Inc,Online Services,"South Tylerland, Moldova",10.200.11.33210,true
TXN_special_405,CUST_special_405,2024-11-26,9483,Refund,Frazier PLC,Online Services,"Port Russellfort, Kuwait",10.200.11.88970,true
TXN_special_148,CUST_special_148,2024-08-19,8076,Refund,Brown LLC,Online Services,"Lake Valerie, Ukraine",10.200.11.22862,true
TXN_special_49,CUST_special_49,2025-04-18,7659,Refund,Burke-Cochran,Online Services,"New Jefferyville, Cook Islands",10.200.11.56753,true
TXN_special_115,CUST_special_115,2024-07-11,7005,Refund,"Perry, Carney and Dalton",Online Services,"Riverashire, Netherlands",10.200.11.91596,true
TXN_special_252,CUST_special_252,2024-10-18,7772,Refund,Fox-Payne,Online Services,"New Reneechester, Chad",10.200.11.87041,true
TXN_special_281,CUST_special_281,2024-08-08,6050,Refund,Powell-Castro,Online Services,"Heathermouth, Lithuania",10.200.11.85668,true
TXN_special_74,CUST_special_74,2024-10-03,4388,Refund,Campbell-Erickson,Online Services,"Ashleyton, Maldives",10.200.11.62590,true
TXN_special_502,CUST_special_502,2024-07-01,3507,Refund,Powers Ltd,Online Services,"Erikaburgh, Argentina",10.200.11.35994,true
TXN_special_547,CUST_special_547,2024-11-12,9208,Refund,"Burke, Martinez and Riggs",Online Services,"Melaniemouth, Algeria",10.200.11.78182,true
TXN_special_363,CUST_special_363,2024-06-03,1829,Refund,Smith-Watson,Online Services,"Brianshire, Lesotho",10.200.11.67791,true
TXN_special_48,CUST_special_48,2024-10-27,3505,Refund,Bell-Ballard,Online Services,"East Alexandraton, Cote d'Ivoire",10.200.11.53740,true
TXN_special_33,CUST_special_33,2025-02-16,4203,Refund,"Clark, Jones and Chavez",Online Services,"New Stacybury, Canada",10.200.11.62003,true
TXN_special_129,CUST_special_129,2025-03-23,5388,Refund,Rosales-Evans,Online Services,"New Jefferyville, Cook Islands",10.200.11.64544,true
TXN_special_604,CUST_special_604,2024-06-14,7395,Refund,Davis-Wong,Online Services,"East Kaylaville, Tuvalu",10.200.11.53228,true
TXN_special_399,CUST_special_399,2024-11-24,3005,Refund,May Group,Online Services,"North Denisechester, Belgium",10.200.11.22864,true
TXN_special_523,CUST_special_523,2024-06-28,2016,Refund,"Perez, Miller and Williams",Online Services,"Phillipmouth, Germany",10.200.11.55019,true
TXN_special_282,CUST_special_282,2025-03-04,4149,Refund,Cisneros-Chapman,Online Services,"Fischermouth, Bulgaria",10.200.11.98460,true
TXN_special_360,CUST_special_360,2024-06-15,8876,Refund,French-Johnson,Online Services,"South Franciscobury, Ghana",10.200.11.63570,true
TXN_special_525,CUST_special_525,2024-10-01,9343,Refund,"Christensen, Smith and Garcia",Online Services,"Stevenside, Jordan",10.200.11.19784,true
TXN_special_259,CUST_special_259,2024-09-22,4585,Refund,Adkins LLC,Online Services,"Martinezbury, Anguilla",10.200.11.32348,true
TXN_special_99,CUST_special_99,2024-06-22,629,Refund,Hester-Parrish,Online Services,"Lauraview, Australia",10.200.11.55902,true
TXN_special_371,CUST_special_371,2024-10-06,388,Refund,"Clark, Arellano and Fischer",Online Services,"Mccartybury, Jamaica",10.200.11.38552,true
TXN_special_470,CUST_special_470,2024-05-22,7234,Refund,Owens-Wilson,Online Services,"Bentleyberg, Mauritania",10.200.11.44792,true
TXN_special_98,CUST_special_98,2024-06-05,2257,Refund,Medina Ltd,Online Services,"Sarashire, Luxembourg",10.200.11.88256,true
TXN_special_170,CUST_special_170,2024-11-15,4816,Refund,Peterson-Ramsey,Online Services,"North Jasonside, Gambia",10.200.11.86876,true
TXN_special_302,CUST_special_302,2024-06-09,1042,Refund,Barron and Sons,Online Services,"Allenmouth, French Polynesia",10.200.11.71213,true
TXN_special_564,CUST_special_564,2024-12-13,6933,Refund,"Ramsey, Hansen and Mendoza",Online Services,"Chambersville, Uzbekistan",10.200.11.31100,true
TXN_special_247,CUST_special_247,2025-04-23,8658,Refund,Perry LLC,Online Services,"South Lisachester, Paraguay",10.200.11.60728,true
TXN_special_460,CUST_special_460,2024-11-10,9580,Refund,"Frank, Reyes and Roman",Online Services,"Romeroton, Kazakhstan",10.200.11.83790,true
TXN_special_411,CUST_special_411,2024-09-20,5877,Refund,"Bradshaw, Allen and Brown",Online Services,"East Tina, Singapore",10.200.11.92828,true
TXN_special_334,CUST_special_334,2024-10-24,8324,Refund,Morales PLC,Online Services,"Anntown, Peru",10.200.11.76306,true
TXN_special_107,CUST_special_107,2025-02-17,7928,Refund,"Cuevas, Leonard and Webb",Online Services,"Port Donaldside, United States Minor Outlying Islands",10.200.11.75366,true
TXN_special_456,CUST_special_456,2025-04-26,1377,Refund,Banks LLC,Online Services,"New Jenniferfort, Bouvet Island (Bouvetoya)",10.200.11.26549,true
TXN_special_257,CUST_special_257,2025-02-10,2233,Refund,Thomas and Sons,Online Services,"Millerport, Guinea-Bissau",10.200.11.75464,true
TXN_special_599,CUST_special_599,2024-07-17,1785,Refund,West-Wilson,Online Services,"East Jenniferton, Italy",10.200.11.18824,true
TXN_special_17,CUST_special_17,2025-02-23,4276,Refund,Morales-Smith,Online Services,"Rebeccaport, Bolivia",10.200.11.81422,true
TXN_special_240,CUST_special_240,2025-02-22,3889,Refund,"Jones, Smith and Hunter",Online Services,"Jacksonhaven, Moldova",10.200.11.46427,true
TXN_special_482,CUST_special_482,2024-09-30,3204,Refund,Burgess Ltd,Online Services,"North Heatherchester, Central African Republic",10.200.11.84240,true
TXN_special_387,CUST_special_387,2024-10-04,877,Refund,Duran and Sons,Online Services,"Foxmouth, Zimbabwe",10.200.11.19565,true
TXN_special_27,CUST_special_27,2024-10-17,2026,Refund,Forbes-Cortez,Online Services,"Costaburgh, Mayotte",10.200.11.34392,true
TXN_special_268,CUST_special_268,2024-07-30,6117,Refund,Jones PLC,Online Services,"Bensonstad, Central African Republic",10.200.11.85478,true
TXN_special_51,CUST_special_51,2025-04-26,1270,Refund,Holland-Best,Online Services,"Petermouth, Malaysia",10.200.11.66056,true
TXN_special_413,CUST_special_413,2024-06-23,4012,Refund,Shannon PLC,Online Services,"New Jasonside, Congo",10.200.11.81502,true
TXN_special_323,CUST_special_323,2024-08-23,7015,Refund,Reynolds-Hudson,Online Services,"West Crystal, Slovenia",10.200.11.11524,true
TXN_special_532,CUST_special_532,2024-10-05,6400,Refund,Fuentes Group,Online Services,"North Danielland, Oman",10.200.11.89908,true
TXN_special_559,CUST_special_559,2025-05-14,1711,Refund,"Lester, Wang and Smith",Online Services,"Port Tylerborough, Turkey",10.200.11.61220,true
TXN_special_124,CUST_special_124,2024-10-01,8003,Refund,Sanchez PLC,Online Services,"Jodymouth, Bermuda",10.200.11.43458,true
TXN_special_97,CUST_special_97,2025-02-06,1940,Refund,"Watson, West and Cook",Online Services,"Jessicaside, Chile",10.200.11.42023,true
TXN_special_573,CUST_special_573,2024-08-01,7134,Refund,Moore-Osborn,Online Services,"Gregoryside, British Virgin Islands",10.200.11.73537,true
TXN_special_496,CUST_special_496,2024-08-30,628,Refund,Johnson-Schultz,Online Services,"Brandtside, Saudi Arabia",10.200.11.79634,true
TXN_special_474,CUST_special_474,2025-04-24,3771,Refund,Parsons-Pitts,Online Services,"Lake Melaniefurt, Senegal",10.200.11.25391,true
TXN_special_239,CUST_special_239,2024-08-29,8105,Refund,Duffy-Stanley,Online Services,"North Anthonyberg, Liberia",10.200.11.56908,true
TXN_special_483,CUST_special_483,2025-03-17,6435,Refund,Reeves LLC,Online Services,"West Courtney, Vanuatu",10.200.11.64149,true
TXN_special_615,CUST_special_615,2025-01-31,1152,Refund,"Mueller, Beck and Perez",Online Services,"Brownchester, Guinea",10.200.11.14542,true
TXN_special_538,CUST_special_538,2024-08-03,5734,Refund,Bernard PLC,Online Services,"West Kimberly, Cocos (Keeling) Islands",10.200.11.25848,true
TXN_special_391,CUST_special_391,2024-12-07,5799,Refund,Luna and Sons,Online Services,"South Kevinborough, Saint Barthelemy",10.200.11.81347,true
TXN_special_452,CUST_special_452,2024-06-28,745,Refund,Montoya-Hernandez,Online Services,"Dawnborough, United Arab Emirates",10.200.11.45541,true
TXN_special_82,CUST_special_82,2025-03-18,2598,Refund,Bell-Vincent,Online Services,"North Jacob, Christmas Island",10.200.11.31451,true
TXN_special_25,CUST_special_25,2024-07-30,3285,Refund,Kramer-Shannon,Online Services,"Jonathanmouth, Nauru",10.200.11.36540,true
TXN_special_32,CUST_special_32,2025-05-04,5865,Refund,Bryant-Sawyer,Online Services,"Emilyfort, Cook Islands",10.200.11.29782,true
